 ,Area,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,1.253,3.942,569.633,2.612,1.143,1.306,1.000,1.147,0.872,0.931
2,0.213,1.481,1257.306,2.939,0.490,0.490,1.000,1.229,0.814,0.941
3,1021.468,143.238,899.755,8.980,46.857,34.122,0.626,1.486,0.673,0.897
4,14.554,16.921,1134.041,40.490,4.735,4.898,0.639,1.561,0.641,0.844
5,1039.114,167.429,886.694,48.327,28.408,57.796,0.466,2.459,0.407,0.860
6,1.013,3.750,176.327,57.306,1.306,1.143,0.905,1.122,0.891,0.854
7,1.146,3.981,743.510,58.449,1.306,1.306,0.909,1.107,0.903,0.860
8,0.853,3.424,459.592,58.939,1.143,1.143,0.914,1.119,0.893,0.821
9,1.093,4.212,1029.224,60.082,1.469,1.306,0.774,1.206,0.829,0.774
10,1.093,3.846,1598.857,61.224,1.306,1.143,0.928,1.144,0.874,0.863
11,1.066,3.711,2167.673,61.224,1.143,1.143,0.973,1.041,0.961,0.899
12,1.013,3.655,1314.939,61.714,1.306,1.143,0.953,1.166,0.857,0.854
13,1.120,3.942,1881.959,62.857,1.306,1.143,0.906,1.102,0.908,0.875
14,362.116,91.272,2154.939,81.306,17.796,28.245,0.546,1.640,0.610,0.885
15,0.320,2.038,340.245,94.531,0.816,0.490,0.967,1.579,0.633,0.889
16,0.373,2.405,893.388,106.286,0.816,0.816,0.811,1.922,0.520,0.800
17,105.369,52.236,725.878,106.776,16.816,11.102,0.485,2.026,0.494,0.848
18,0.267,2.038,205.224,118.367,0.490,0.816,0.806,1.690,0.592,0.833
19,1.653,4.961,188.408,196.571,1.306,1.796,0.844,1.261,0.793,0.855
20,1.626,4.730,755.592,197.878,1.469,1.469,0.913,1.145,0.873,0.884
21,1.733,4.865,471.673,198.367,1.469,1.633,0.920,1.099,0.910,0.884
22,1.786,4.770,1041.469,199.510,1.469,1.633,0.987,1.116,0.896,0.899
23,1.839,4.921,1610.939,200.653,1.469,1.469,0.954,1.043,0.959,0.932
24,1.679,4.865,2179.755,200.653,1.469,1.633,0.892,1.217,0.822,0.875
25,1.733,4.770,1327.020,200.980,1.469,1.633,0.957,1.095,0.913,0.878
26,1.679,4.730,1894.041,202.286,1.469,1.469,0.943,1.076,0.929,0.900
27,214.417,73.211,1452.571,209.633,19.102,20.571,0.503,1.532,0.653,0.815
28,0.080,0.924,555.429,214.857,0.327,0.327,1.000,1.464,0.683,0.857
29,888.963,128.907,529.469,228.735,37.061,36.735,0.672,1.064,0.940,0.919
30,1132.248,161.389,1843.429,230.041,26.939,64.816,0.546,2.747,0.364,0.917
31,0.960,3.806,1424.490,240.163,0.816,1.469,0.832,1.751,0.571,0.923
32,0.133,1.250,598.041,250.286,0.327,0.490,1.000,1.553,0.644,0.909
33,34.172,26.008,2199.184,250.939,5.714,8.163,0.635,1.413,0.708,0.901
34,0.027,0.462,406.857,251.265,0.163,0.163,1.000,1.000,1.000,1.000
35,100.438,44.218,121.306,255.837,13.061,12.571,0.646,1.625,0.615,0.873
36,3999.560,348.381,1548.735,284.571,56.653,114.122,0.414,2.285,0.438,0.833
37,880.806,143.219,643.918,285.551,38.531,39.347,0.540,1.249,0.800,0.849
38,0.027,0.462,1347.265,289.796,0.163,0.163,1.000,1.000,1.000,1.000
39,0.027,0.462,684.082,296.163,0.163,0.163,1.000,1.000,1.000,1.000
40,0.080,1.154,253.878,301.388,0.490,0.327,0.754,2.702,0.370,0.667
41,0.080,1.115,821.388,302.531,0.163,0.490,0.809,3.000,0.333,1.000
42,202.929,79.286,948.898,304.327,19.592,20.571,0.406,1.227,0.815,0.778
43,0.107,1.346,1106.939,304.327,0.653,0.163,0.740,4.000,0.250,1.000
44,0.027,0.462,1676.735,305.306,0.163,0.163,1.000,1.000,1.000,1.000
45,0.080,0.924,688.327,305.633,0.327,0.327,1.000,1.464,0.683,0.857
46,0.027,0.462,1676.408,305.633,0.163,0.163,1.000,1.000,1.000,1.000
47,0.080,1.019,1392.490,306.122,0.490,0.163,0.967,3.000,0.333,1.000
48,0.027,0.462,1959.837,306.939,0.163,0.163,1.000,1.000,1.000,1.000
49,0.027,0.462,1959.673,307.265,0.163,0.163,1.000,1.000,1.000,1.000
50,0.027,0.462,1696.980,313.469,0.163,0.163,1.000,1.000,1.000,1.000
51,508.615,118.497,1434.286,317.878,29.388,29.224,0.455,1.550,0.645,0.818
52,0.320,2.038,668.898,325.878,0.653,0.653,0.967,1.481,0.675,0.857
53,0.347,1.943,673.796,328.000,0.653,0.653,1.000,1.159,0.863,0.897
54,0.027,0.462,1332.898,329.796,0.163,0.163,1.000,1.000,1.000,1.000
55,1.226,4.037,2168.816,343.837,1.143,1.306,0.945,1.057,0.946,0.911
56,1.093,3.846,1883.102,345.469,1.143,1.306,0.928,1.206,0.829,0.882
57,1.706,5.000,1600.327,346.939,1.633,1.633,0.857,1.049,0.953,0.853
58,1.093,3.750,1316.571,347.592,1.143,1.306,0.976,1.026,0.975,0.882
59,0.906,3.424,1032.980,349.224,1.143,1.143,0.972,1.113,0.898,0.872
60,1.146,4.037,749.061,349.714,1.306,1.143,0.884,1.096,0.912,0.878
61,1.093,3.846,464.327,351.347,1.306,1.143,0.928,1.252,0.799,0.863
62,1.040,3.655,181.061,352.980,1.306,1.143,0.978,1.149,0.870,0.857
63,1.146,4.634,919.510,352.980,1.143,1.796,0.671,2.387,0.419,0.851
64,257.253,114.236,2204.082,371.755,36.408,14.531,0.248,3.655,0.274,0.643
65,23.030,21.763,2010.776,378.449,7.020,5.714,0.611,2.038,0.491,0.861
66,0.293,2.365,1938.612,395.918,0.490,0.980,0.659,2.714,0.368,0.786
67,0.027,0.462,1938.939,398.367,0.163,0.163,1.000,1.000,1.000,1.000
68,0.080,1.115,1934.857,399.020,0.163,0.490,0.809,3.000,0.333,1.000
69,0.160,1.250,1937.633,399.184,0.327,0.490,1.000,1.500,0.667,1.000
70,5.171,14.015,1936.816,400.327,4.408,3.102,0.331,1.740,0.575,0.593
71,1395.205,190.636,537.633,420.898,39.510,64.653,0.482,2.021,0.495,0.880
72,0.027,0.462,2291.592,440.000,0.163,0.163,1.000,1.000,1.000,1.000
73,5.544,11.244,2291.102,440.327,1.959,4.571,0.551,2.960,0.338,0.847
74,0.213,1.481,598.367,457.469,0.490,0.490,1.000,1.229,0.814,0.941
75,0.027,0.462,551.510,461.714,0.163,0.163,1.000,1.000,1.000,1.000
76,3679.427,511.343,1823.673,467.429,95.510,94.041,0.177,2.258,0.443,0.683
77,4161.040,279.983,9.143,469.224,93.224,65.469,0.667,1.626,0.615,0.948
78,0.693,3.058,586.612,473.143,0.816,1.143,0.932,1.574,0.635,0.881
79,1.706,4.730,2180.898,483.265,1.469,1.469,0.958,1.114,0.898,0.901
80,5224.330,372.298,1146.939,483.918,88.653,98.286,0.474,1.437,0.696,0.901
81,1.893,5.096,1895.184,484.735,1.469,1.796,0.916,1.113,0.899,0.877
82,1.786,4.865,1612.571,486.531,1.469,1.633,0.948,1.093,0.915,0.905
83,1.786,4.730,1328.653,487.020,1.469,1.469,1.000,1.061,0.942,0.924
84,1.786,4.826,1045.061,488.653,1.469,1.469,0.964,1.061,0.942,0.924
85,1.919,5.287,761.143,489.143,1.469,1.796,0.863,1.338,0.747,0.878
86,0.160,1.385,571.755,490.122,0.490,0.490,1.000,1.291,0.775,0.800
87,1.733,4.634,476.408,490.776,1.469,1.469,1.000,1.054,0.949,0.915
88,0.640,2.827,570.286,491.755,0.980,0.816,1.000,1.214,0.824,0.889
89,1.706,4.826,193.143,492.408,1.469,1.469,0.921,1.093,0.915,0.901
90,0.053,0.693,599.673,492.898,0.327,0.163,1.000,2.000,0.500,1.000
91,0.027,0.462,425.633,500.408,0.163,0.163,1.000,1.000,1.000,1.000
92,0.107,0.924,555.265,504.980,0.327,0.327,1.000,1.000,1.000,1.000
93,0.027,0.462,1644.408,517.224,0.163,0.163,1.000,1.000,1.000,1.000
94,2.292,12.174,2173.878,524.735,2.612,4.245,0.194,2.589,0.386,0.359
95,0.107,1.154,2176.163,525.714,0.490,0.327,1.000,2.031,0.492,0.800
96,62.107,56.617,2177.306,526.204,17.796,9.469,0.243,3.088,0.324,0.640
97,94.307,69.200,732.898,531.918,15.673,12.082,0.247,1.781,0.561,0.712
98,0.293,1.943,738.286,535.184,0.653,0.653,0.976,1.714,0.583,0.846
99,0.027,0.462,1918.857,535.184,0.163,0.163,1.000,1.000,1.000,1.000
100,0.187,1.481,1920.163,535.184,0.490,0.490,1.000,1.069,0.936,0.875
101,0.560,3.328,1877.714,536.327,1.143,1.143,0.635,2.939,0.340,0.700
102,0.080,0.924,1879.673,536.490,0.327,0.327,1.000,1.464,0.683,0.857
103,0.027,0.462,738.449,537.306,0.163,0.163,1.000,1.000,1.000,1.000
104,696.963,158.753,1422.694,562.612,39.510,32.000,0.348,1.579,0.633,0.749
105,0.080,1.019,536.816,572.571,0.490,0.163,0.967,3.000,0.333,1.000
106,6065.739,356.227,794.122,587.265,101.551,87.673,0.601,1.446,0.692,0.923
107,0.027,0.462,2246.531,588.082,0.163,0.163,1.000,1.000,1.000,1.000
108,0.107,1.385,1960.653,589.551,0.490,0.490,0.698,1.581,0.632,0.615
109,0.107,1.346,1393.959,592.000,0.653,0.163,0.740,4.000,0.250,1.000
110,0.107,1.250,826.776,593.796,0.490,0.327,0.857,2.000,0.500,0.800
111,0.027,0.462,542.204,595.755,0.163,0.163,1.000,1.000,1.000,1.000
112,0.107,1.250,258.776,597.061,0.327,0.490,0.857,2.000,0.500,0.800
113,0.160,1.385,1295.020,603.102,0.490,0.490,1.000,1.291,0.775,0.800
114,2182.984,227.115,1917.878,608.163,56.653,57.306,0.532,1.032,0.969,0.898
115,218.416,105.845,1603.265,621.061,27.755,22.041,0.245,1.485,0.674,0.600
116,0.187,1.616,1631.184,624.327,0.653,0.490,0.898,1.387,0.721,0.737
117,1.333,4.443,1601.796,631.347,1.469,1.469,0.848,1.029,0.972,0.820
118,1.173,4.212,1884.082,631.510,1.469,1.306,0.831,1.156,0.865,0.815
119,1.200,3.942,2166.857,632.816,1.306,1.143,0.970,1.096,0.912,0.900
120,0.960,3.886,181.551,633.143,1.306,1.306,0.799,1.165,0.858,0.791
121,1.146,4.077,1316.082,633.143,1.306,1.306,0.867,1.141,0.876,0.835
122,1.093,3.886,464.653,634.776,1.306,1.306,0.910,1.145,0.873,0.820
123,0.826,3.559,1030.204,634.776,1.306,1.143,0.820,1.155,0.866,0.775
124,1.200,4.021,747.429,636.408,1.469,1.306,0.932,1.140,0.877,0.849
125,0.027,0.462,893.551,663.347,0.163,0.163,1.000,1.000,1.000,1.000
126,0.320,1.943,1341.714,699.429,0.653,0.653,1.000,1.281,0.781,0.857
127,309.871,100.818,1824.163,712.816,31.020,22.367,0.383,1.712,0.584,0.689
128,164.945,105.189,1901.061,721.306,20.408,28.735,0.187,1.954,0.512,0.427
129,345.110,101.910,1446.204,727.184,30.531,28.245,0.418,2.024,0.494,0.780
130,0.027,0.462,1846.204,731.592,0.163,0.163,1.000,1.000,1.000,1.000
131,0.027,0.462,1848.000,733.551,0.163,0.163,1.000,1.000,1.000,1.000
132,0.533,3.480,1848.163,733.714,0.653,1.469,0.553,2.780,0.360,0.714
133,0.133,1.154,1627.592,746.939,0.490,0.327,1.000,1.553,0.644,0.909
134,20.152,21.509,616.327,756.571,7.673,4.898,0.547,1.856,0.539,0.789
135,6814.894,623.403,1835.918,766.204,106.122,138.449,0.220,1.598,0.626,0.724
136,1.866,5.096,1614.041,770.776,1.469,1.796,0.903,1.132,0.884,0.870
137,1.999,5.056,1896.327,770.939,1.469,1.633,0.983,1.150,0.870,0.932
138,1.839,4.865,2178.939,772.245,1.469,1.633,0.976,1.049,0.954,0.914
139,1.733,4.865,1328.163,772.408,1.469,1.633,0.920,1.181,0.847,0.878
140,1.706,4.730,193.633,772.571,1.469,1.469,0.958,1.075,0.930,0.901
141,1.759,5.000,476.735,774.041,1.469,1.796,0.884,1.178,0.849,0.868
142,1.706,4.826,1042.286,774.204,1.469,1.469,0.921,1.140,0.877,0.901
143,1.706,4.730,759.673,775.837,1.469,1.469,0.958,1.062,0.942,0.895
144,0.480,2.365,714.939,798.041,0.653,0.816,1.000,1.248,0.801,0.947
145,0.480,2.922,1868.898,802.939,0.653,1.143,0.706,2.013,0.497,0.800
146,16.660,21.914,799.347,803.429,7.837,4.735,0.436,2.485,0.402,0.752
147,615.210,107.300,1522.449,832.980,32.653,30.041,0.671,1.346,0.743,0.932
148,0.213,2.556,1927.184,834.612,1.143,0.327,0.410,5.225,0.191,0.727
149,0.880,3.750,1875.265,856.980,1.469,0.980,0.786,1.424,0.702,0.795
150,0.160,1.385,1648.653,859.755,0.490,0.490,1.000,1.291,0.775,0.800
151,147.565,76.842,2074.939,863.020,16.980,20.082,0.314,1.779,0.562,0.717
152,0.027,0.462,1688.816,867.265,0.163,0.163,1.000,1.000,1.000,1.000
153,120.723,78.363,193.959,874.612,18.122,21.388,0.247,2.844,0.352,0.599
154,0.160,1.385,1961.959,875.592,0.490,0.490,1.000,1.291,0.775,0.800
155,0.027,0.462,1679.837,875.755,0.163,0.163,1.000,1.000,1.000,1.000
156,0.133,1.250,259.265,877.224,0.327,0.490,1.000,1.553,0.644,0.909
157,0.027,0.462,542.531,878.857,0.163,0.163,1.000,1.000,1.000,1.000
158,0.320,1.943,691.429,879.347,0.653,0.653,1.000,1.135,0.881,0.857
159,9.809,21.436,196.735,894.041,5.388,5.551,0.268,2.140,0.467,0.592
160,0.293,1.808,1620.735,898.612,0.653,0.490,1.000,1.372,0.729,0.957
161,0.133,1.154,1493.388,901.878,0.490,0.327,1.000,1.553,0.644,0.909
162,363.022,115.064,582.367,903.020,33.959,22.204,0.345,1.610,0.621,0.758
163,0.373,2.174,977.306,913.959,0.653,0.816,0.993,1.601,0.625,0.848
164,1.120,3.981,2167.673,913.959,1.306,1.306,0.888,1.223,0.818,0.832
165,1.253,4.212,1884.735,915.265,1.469,1.306,0.887,1.048,0.954,0.847
166,98.919,43.110,2057.306,915.265,15.837,10.449,0.669,1.437,0.696,0.906
167,1.093,3.981,1600.816,915.918,1.469,1.143,0.866,1.249,0.801,0.845
168,0.160,1.385,978.122,916.898,0.490,0.490,1.000,1.291,0.775,0.800
169,0.986,3.519,1315.592,917.551,1.143,1.143,1.000,1.264,0.791,0.892
170,1.120,3.750,1031.673,919.184,1.143,1.306,1.000,1.085,0.922,0.894
171,1.226,4.037,749.061,920.816,1.306,1.143,0.945,1.026,0.974,0.911
172,1.093,3.711,465.143,921.306,1.143,1.143,0.997,1.111,0.900,0.911
173,1.040,3.615,182.531,922.939,1.143,1.143,1.000,1.138,0.879,0.907
174,1.013,3.615,658.939,923.592,1.306,0.980,0.974,1.306,0.766,0.905
175,0.293,1.808,988.408,927.020,0.653,0.490,1.000,1.372,0.729,0.957
176,0.240,1.712,996.408,929.633,0.653,0.490,1.000,1.343,0.745,0.857
177,0.267,1.712,1000.653,938.122,0.653,0.490,1.000,1.236,0.809,0.909
178,0.133,1.385,970.939,945.469,0.490,0.490,0.873,1.496,0.668,0.714
179,0.506,2.500,993.633,946.612,0.816,0.816,1.000,1.344,0.744,0.884
180,0.613,3.058,1003.918,947.755,0.816,1.143,0.824,2.202,0.454,0.868
181,0.080,0.924,985.796,953.306,0.327,0.327,1.000,1.464,0.683,0.857
182,0.480,2.500,1000.653,957.551,0.653,0.980,0.965,1.704,0.587,0.878
183,0.213,1.616,1015.673,961.306,0.653,0.490,1.000,1.939,0.516,0.842
184,0.426,2.309,1000.653,965.061,0.816,0.816,1.000,1.126,0.888,0.821
185,0.080,0.924,1017.306,965.388,0.327,0.327,1.000,1.464,0.683,0.857
186,0.240,1.712,992.490,968.163,0.653,0.490,1.000,1.340,0.746,0.857
187,0.320,1.903,453.878,969.143,0.653,0.490,1.000,1.333,0.750,1.000
188,0.240,2.038,1015.347,969.143,0.490,0.816,0.726,1.758,0.569,0.750
189,0.027,0.462,1015.837,974.694,0.163,0.163,1.000,1.000,1.000,1.000
190,0.107,0.924,1025.633,976.327,0.327,0.327,1.000,1.000,1.000,1.000
191,0.293,1.943,1000.490,977.796,0.816,0.490,0.976,1.892,0.528,0.880
192,0.773,3.153,1672.327,982.857,0.980,0.980,0.977,1.107,0.903,0.892
193,186.189,57.438,1777.796,984.653,20.082,13.388,0.709,1.540,0.649,0.927
194,111.607,81.572,2048.163,986.122,15.673,21.224,0.211,1.578,0.634,0.547
195,0.027,0.462,992.327,989.714,0.163,0.163,1.000,1.000,1.000,1.000
196,0.506,2.596,1016.163,991.184,0.816,0.816,0.944,1.089,0.918,0.905
197,900.905,158.309,1839.020,993.143,43.918,32.490,0.452,1.413,0.708,0.787
198,0.027,0.462,1005.878,993.959,0.163,0.163,1.000,1.000,1.000,1.000
199,0.027,0.462,995.755,997.224,0.163,0.163,1.000,1.000,1.000,1.000
200,0.906,3.615,1018.939,999.673,1.469,0.816,0.871,1.912,0.523,0.895
201,0.053,0.693,1027.265,999.673,0.327,0.163,1.000,2.000,0.500,1.000
202,0.267,1.712,998.694,1002.939,0.653,0.490,1.000,1.551,0.645,0.909
203,0.320,2.038,1029.714,1005.061,0.653,0.653,0.967,1.218,0.821,0.889
204,0.053,0.788,1007.837,1007.184,0.163,0.327,1.000,2.000,0.500,1.000
205,0.027,0.462,1015.347,1012.571,0.163,0.163,1.000,1.000,1.000,1.000
206,0.053,0.788,1072.163,1013.061,0.163,0.327,1.000,2.000,0.500,1.000
207,0.293,1.847,999.837,1014.204,0.653,0.653,1.000,1.450,0.690,0.815
208,0.053,0.693,1007.837,1014.204,0.327,0.163,1.000,2.000,0.500,1.000
209,0.240,1.712,1023.184,1021.878,0.653,0.490,1.000,1.343,0.745,0.857
210,0.187,1.385,1014.041,1022.531,0.490,0.490,1.000,1.596,0.626,0.875
211,0.506,2.635,1016.490,1027.265,0.980,0.816,0.916,1.677,0.596,0.809
212,2.026,5.766,1023.510,1029.714,1.469,1.796,0.766,1.424,0.702,0.874
213,0.267,1.847,1004.408,1039.020,0.653,0.653,0.982,1.028,0.973,0.769
214,2701.648,253.113,820.571,1041.469,56.816,86.531,0.530,2.459,0.407,0.897
215,0.160,1.481,1004.245,1045.388,0.653,0.327,0.916,1.809,0.553,0.857
216,1.706,4.770,2179.755,1053.224,1.469,1.633,0.942,1.127,0.888,0.895
217,0.347,2.174,1011.918,1054.041,0.653,0.816,0.922,1.714,0.583,0.839
218,1.839,4.961,1896.980,1054.857,1.469,1.633,0.939,1.064,0.939,0.908
219,0.133,1.250,1035.102,1055.347,0.490,0.327,1.000,1.553,0.644,0.909
220,1.706,4.730,1613.061,1055.347,1.469,1.469,0.958,1.107,0.903,0.908
221,1.839,4.865,1327.673,1056.980,1.469,1.633,0.976,1.054,0.949,0.914
222,1.733,4.770,1043.755,1058.612,1.469,1.633,0.957,1.085,0.922,0.897
223,0.240,1.616,1030.694,1059.755,0.653,0.490,1.000,1.340,0.746,0.857
224,1.786,4.961,761.143,1060.245,1.469,1.633,0.912,1.159,0.863,0.887
225,1.679,4.865,477.224,1060.735,1.469,1.633,0.892,1.152,0.868,0.869
226,1.759,4.730,194.612,1062.367,1.469,1.469,0.988,1.040,0.962,0.917
227,0.320,1.943,1532.245,1065.143,0.653,0.653,1.000,1.135,0.881,0.857
228,0.187,1.481,1024.163,1070.367,0.490,0.490,1.000,1.069,0.936,0.875
229,0.320,1.943,1313.796,1074.612,0.653,0.653,1.000,1.281,0.780,0.857
230,0.107,0.924,1527.673,1089.143,0.327,0.327,1.000,1.000,1.000,1.000
231,0.160,1.385,1043.265,1100.245,0.490,0.490,1.000,1.291,0.775,0.800
232,0.107,0.924,1017.143,1102.531,0.327,0.327,1.000,1.000,1.000,1.000
233,0.027,0.462,1043.918,1104.653,0.163,0.163,1.000,1.000,1.000,1.000
234,1943.244,468.489,1895.510,1119.184,75.429,102.857,0.111,4.281,0.234,0.537
235,0.666,2.962,1482.776,1126.694,0.980,0.980,0.954,1.131,0.884,0.847
236,0.027,0.462,1932.571,1138.939,0.163,0.163,1.000,1.000,1.000,1.000
237,2132.392,197.602,419.918,1144.653,57.143,54.857,0.686,1.254,0.797,0.933
238,0.027,0.462,1922.449,1152.653,0.163,0.163,1.000,1.000,1.000,1.000
239,2760.103,366.314,1664.163,1152.980,61.061,103.673,0.258,2.447,0.409,0.688
240,2941.521,217.907,673.143,1157.878,67.918,60.408,0.778,1.099,0.910,0.971
241,0.053,0.693,1109.388,1163.592,0.327,0.163,1.000,2.000,0.500,1.000
242,0.107,1.154,826.612,1165.061,0.490,0.327,1.000,2.031,0.492,0.800
243,0.027,0.462,543.020,1165.551,0.163,0.163,1.000,1.000,1.000,1.000
244,0.133,1.154,1539.918,1177.306,0.490,0.327,1.000,1.553,0.644,0.909
245,0.107,0.924,1542.367,1183.347,0.327,0.327,1.000,1.000,1.000,1.000
246,0.027,0.462,1944.816,1187.429,0.163,0.163,1.000,1.000,1.000,1.000
247,4.238,10.344,1964.408,1194.286,3.429,2.449,0.498,1.730,0.578,0.702
248,0.080,0.924,1963.265,1194.449,0.327,0.327,1.000,1.464,0.683,0.857
249,319.094,111.290,201.959,1201.796,25.633,31.510,0.324,2.285,0.438,0.663
250,1.253,4.212,467.918,1201.959,1.469,1.306,0.887,1.155,0.865,0.832
251,637.948,117.749,2115.429,1202.939,36.245,29.388,0.578,1.611,0.621,0.892
252,1.306,4.308,750.531,1203.429,1.469,1.306,0.885,1.182,0.846,0.852
253,1.253,4.077,182.204,1203.592,1.306,1.306,0.947,1.071,0.934,0.870
254,1.093,3.886,1036.082,1205.061,1.306,1.306,0.910,1.239,0.807,0.837
255,1.173,3.846,1319.020,1206.694,1.306,1.143,0.996,1.118,0.895,0.907
256,1.120,3.981,1602.286,1208.000,1.306,1.306,0.888,1.149,0.870,0.840
257,1.066,3.750,1888.163,1209.633,1.306,1.143,0.953,1.285,0.778,0.870
258,1.306,4.308,2171.592,1211.265,1.469,1.306,0.885,1.136,0.880,0.852
259,0.347,2.038,1874.612,1233.633,0.653,0.653,1.000,1.370,0.730,0.929
260,2.052,5.152,1232.980,1234.449,1.633,1.469,0.972,1.239,0.807,0.945
261,5.704,9.555,72.000,1238.857,2.939,2.939,0.785,1.230,0.813,0.875
262,289.933,243.087,120.980,1241.469,24.000,32.327,0.062,1.570,0.637,0.493
263,12.848,19.127,123.429,1246.367,6.531,3.755,0.441,2.212,0.452,0.702
264,1277.068,194.066,1337.796,1246.531,42.612,48.653,0.426,1.219,0.820,0.830
265,1.546,4.826,122.612,1249.959,1.469,1.469,0.834,1.454,0.688,0.872
266,0.773,3.806,1713.469,1250.612,1.469,0.816,0.670,2.458,0.407,0.795
267,2.932,6.960,124.408,1250.776,1.796,2.449,0.761,1.307,0.765,0.863
268,0.027,0.462,128.163,1250.776,0.163,0.163,1.000,1.000,1.000,1.000
269,0.240,1.943,129.959,1251.102,0.816,0.490,0.799,2.013,0.497,0.783
270,1482.502,239.238,321.306,1251.592,57.633,48.163,0.325,1.099,0.910,0.790
271,0.347,3.153,125.878,1254.041,0.653,1.306,0.438,3.896,0.257,0.684
272,0.107,1.250,128.327,1254.041,0.327,0.490,0.857,1.468,0.681,0.800
273,0.027,0.462,130.122,1254.204,0.163,0.163,1.000,1.000,1.000,1.000
274,0.187,1.903,127.673,1255.020,0.327,0.816,0.647,2.731,0.366,0.824
275,304.593,111.538,959.184,1256.163,25.469,26.939,0.308,1.354,0.739,0.720
276,461.274,146.342,159.673,1260.245,24.980,34.449,0.271,1.601,0.625,0.775
277,0.347,2.269,964.245,1260.245,0.980,0.490,0.846,1.865,0.536,0.867
278,0.080,0.924,130.122,1260.571,0.327,0.327,1.000,1.464,0.683,0.857
279,0.373,2.962,131.265,1261.714,0.816,1.143,0.535,3.326,0.301,0.700
280,0.107,1.154,137.469,1262.367,0.490,0.327,1.000,2.031,0.492,0.800
281,1.013,4.308,126.041,1262.857,1.143,1.633,0.686,2.503,0.400,0.784
282,0.080,0.924,129.306,1262.857,0.327,0.327,1.000,1.464,0.683,0.857
283,219.482,92.635,1098.449,1265.306,28.408,16.653,0.321,2.136,0.468,0.654
284,0.027,0.462,131.102,1266.776,0.163,0.163,1.000,1.000,1.000,1.000
285,1636.172,199.386,1270.531,1284.245,58.122,52.245,0.517,1.815,0.551,0.827
286,8.823,13.283,58.612,1300.082,4.898,2.612,0.628,1.881,0.532,0.849
287,0.986,3.424,1409.959,1304.327,1.143,1.143,1.000,1.132,0.883,0.902
288,0.107,1.154,1411.592,1309.551,0.490,0.327,1.000,2.031,0.492,0.800
289,1.786,4.961,480.163,1341.388,1.469,1.633,0.912,1.094,0.914,0.887
290,1.679,4.770,194.286,1342.857,1.469,1.633,0.928,1.142,0.876,0.875
291,1.733,4.826,762.776,1342.857,1.469,1.469,0.935,1.056,0.947,0.909
292,1.679,4.770,1048.163,1344.490,1.469,1.633,0.928,1.122,0.891,0.869
293,1.999,4.961,1331.265,1346.122,1.469,1.633,1.000,1.075,0.930,0.938
294,1.839,4.865,1614.367,1347.429,1.469,1.633,0.976,1.102,0.908,0.914
295,1.733,4.905,1900.245,1348.898,1.469,1.796,0.905,1.171,0.854,0.861
296,1.813,4.905,2183.837,1350.531,1.469,1.796,0.947,1.061,0.942,0.877
297,7119.140,363.494,1528.000,1357.224,121.959,90.612,0.677,1.478,0.677,0.931
298,4989.494,373.711,1286.041,1372.898,74.449,92.571,0.449,1.373,0.729,0.920
299,0.053,0.924,1297.959,1429.224,0.327,0.327,0.785,2.646,0.378,0.667
300,88.203,44.482,102.857,1431.673,14.531,9.959,0.560,1.741,0.575,0.810
301,7949.621,390.956,1764.245,1436.735,106.286,121.633,0.654,1.392,0.718,0.959
302,0.906,3.750,2199.347,1438.531,1.306,1.143,0.810,2.147,0.466,0.850
303,0.053,0.788,1164.571,1445.061,0.163,0.327,1.000,2.000,0.500,1.000
304,0.027,0.462,545.633,1446.367,0.163,0.163,1.000,1.000,1.000,1.000
305,0.133,1.385,828.245,1447.510,0.490,0.490,0.873,2.308,0.433,0.769
306,86.870,45.198,90.286,1447.837,14.367,9.959,0.534,1.738,0.575,0.809
307,0.027,0.462,259.918,1447.837,0.163,0.163,1.000,1.000,1.000,1.000
308,0.107,0.924,1396.735,1450.939,0.327,0.327,1.000,1.000,1.000,1.000
309,0.027,0.462,313.469,1451.918,0.163,0.163,1.000,1.000,1.000,1.000
310,0.160,1.712,1679.837,1451.918,0.490,0.653,0.686,2.166,0.462,0.706
311,0.107,1.250,1966.041,1453.714,0.327,0.490,0.857,2.000,0.500,0.800
312,0.133,1.250,535.347,1459.429,0.490,0.327,1.000,1.553,0.644,0.909
313,73.676,47.737,1453.388,1469.878,9.796,14.531,0.406,1.725,0.580,0.748
314,902.877,163.823,976.000,1476.898,43.918,37.878,0.423,1.153,0.868,0.815
315,1713.206,218.867,1307.918,1484.571,62.857,48.980,0.449,1.451,0.689,0.807
316,1.120,3.886,2172.735,1490.612,1.306,1.306,0.932,1.077,0.928,0.840
317,1.279,4.077,1889.796,1492.245,1.306,1.306,0.967,1.058,0.945,0.897
318,1.200,4.116,1603.918,1493.714,1.306,1.469,0.890,1.116,0.896,0.826
319,1.279,4.403,1034.122,1496.980,1.469,1.306,0.829,1.157,0.865,0.850
320,1.146,3.942,751.673,1501.551,1.143,1.306,0.927,1.053,0.950,0.887
321,1.066,3.981,466.939,1503.020,1.306,1.306,0.845,1.149,0.870,0.808
322,1.146,3.886,183.510,1504.163,1.306,1.306,0.954,1.049,0.953,0.860
323,5585.086,317.765,56.163,1523.592,79.510,104.653,0.695,1.460,0.685,0.943
324,3.652,10.129,1701.061,1528.327,1.959,3.918,0.447,3.628,0.276,0.717
