Eq Diam,Count,Volume Fraction
0.6,0.0,0.0
0.7080219714290389,4076.0,4.882926546053675e-08
0.8354918533771046,6969.96,1.3720273080883506e-07
0.9859109819015986,6521.599999999999,2.1094686791628743e-07
1.163411061765849,5461.84,2.9029820533999437e-07
1.3728676558896795,4524.36,3.951381709264158e-07
1.6200341070569575,4076.0,5.849415346619589e-07
1.9116995704345832,2934.72,6.920403393523202e-07
2.2558754977319007,1997.24,7.73893943375734e-07
2.6620156953376743,1022.5,6.510299419009053e-07
3.1412760009800405,1222.74,1.2792582302287915e-06
3.70682071169436,883.3199999999999,1.5185483267849682e-06
4.37418418004639,867.5999999999999,2.450848979310346e-06
5.161697510916932,613.7,2.8486532262661613e-06
6.090992079332949,357.4,2.7259912869681936e-06
7.187593699946627,411.3,5.1548386783725675e-06
8.481623768778585,199.64,4.111406176534036e-06
10.008626636150014,255.16,8.634592971585e-06
11.810545937040205,178.39999999999998,9.919975062918585e-06
13.936876696660718,195.28,1.7842674407978342e-05
16.44602485722192,149.01999999999998,2.2373462326963447e-05
19.406911569302075,152.89999999999998,3.77209461158464e-05
22.90086631441046,86.25999999999999,3.4968016576330574e-05
27.023860858936278,91.64,6.104260794435281e-05
31.88914540161352,70.75999999999999,7.745015252555543e-05
37.6303593240628,106.52,0.00019158083628039008
44.40520199034342,45.38,0.00013411330103327803
52.399764424846055,90.64,0.0004401631807160836
61.83364085082788,101.02,0.0008060976080766981
72.9659604930638,147.78,0.0019376814618886663
86.10250532585405,66.25999999999999,0.0014275936496922555
101.60410927631742,72.75999999999999,0.0025759196975005537
119.89656959184966,73.75999999999999,0.0042908861496022965
141.48234261666732,156.78,0.014986602810812025
166.95434523641913,227.3,0.03570248347262335
197.0122410882232,154.28,0.03981943330708719
232.48165888489467,127.9,0.054242842903941386
274.33687074129426,140.28,0.09775840556763969
323.7275534298741,77.14,0.08833329703576467
382.01036764219856,85.14,0.1602008831292179
450.78622267393536,50.76,0.15694205220738305
531.9442501177493,15.0,0.07620709849952384
627.7136944311841,6.0,0.050088943539691524
740.7251457069542,9.0,0.12345809876907772
874.082796584166,4.0,0.0901619965786117
1031.4497080495485,0.0,0.0
1217.148426205246,0.0,0.0
1436.279713739318,0.0,0.0
1694.8626574087468,0.0,0.0
