Eq Diam,Count,Volume Fraction
0.6,0.0,0.0
0.7080219714290389,6371.774303195105,2.773384584193773e-07
0.8354918533771046,11530.73929299796,8.246949209014646e-07
0.9859109819015986,10607.556084296397,1.2466311005542687e-06
1.163411061765849,10553.251189666891,2.0379585650706393e-06
1.3728676558896795,8073.327668252888,2.561817025625359e-06
1.6200341070569575,5014.151937457512,2.6144447696362835e-06
1.9116995704345832,4308.188307273963,3.691162062397032e-06
2.2558754977319007,3891.850781781101,5.479123255312285e-06
2.6620156953376743,2380.7566281441195,5.507523330408517e-06
3.1412760009800405,3145.882732834806,1.1958324298153632e-05
3.70682071169436,3370.17946974847,2.1050735754976516e-05
4.37418418004639,4278.380863358259,4.391168959881065e-05
5.161697510916932,4591.643099932018,7.743820585982795e-05
6.090992079332949,5005.236573759347,0.0001387069498469795
7.187593699946627,5202.084126444595,0.0002368849324338365
8.481623768778585,5915.370836165874,0.0004426174133533739
10.008626636150014,5451.177600271923,0.0006702291390809683
11.810545937040205,5000.813732154997,0.0010103226887836162
13.936876696660718,5019.830047586675,0.0016664600055030473
16.44602485722192,4352.93354860639,0.002374512020621873
19.406911569302075,3467.943575798776,0.003108499570851248
22.90086631441046,2741.622365737593,0.004038061017351687
27.023860858936278,2053.640550645819,0.0049702258954331955
31.88914540161352,1515.6668932698844,0.0060275651711236165
37.6303593240628,1216.9046566961251,0.007952087628188024
44.40520199034342,988.6424201223656,0.010615740626541283
52.399764424846055,741.9818150917743,0.013091541090304522
61.83364085082788,652.7785520054384,0.018925608072024234
72.9659604930638,625.8293677770224,0.02981441953444753
86.10250532585405,461.7703942895989,0.03614789053242023
101.60410927631742,438.7703942895989,0.056439173212034434
119.89656959184966,460.5244731475187,0.09733801714255809
141.48234261666732,277.2622365737593,0.09629571378214434
166.95434523641913,227.2622365737593,0.1296970101745519
197.0122410882232,74.15244731475187,0.06953678878149082
232.48165888489467,64.20326308633582,0.09893106793259247
274.33687074129426,34.0,0.08608767259031676
323.7275534298741,11.0,0.045765813722772844
382.01036764219856,7.0,0.047855625517365614
450.78622267393536,4.0,0.044934654041277194
531.9442501177493,3.0,0.05537696110905538
627.7136944311841,1.0,0.030331530056530748
740.7251457069542,0.0,0.0
874.082796584166,0.0,0.0
1031.4497080495485,0.0,0.0
1217.148426205246,0.0,0.0
1436.279713739318,0.0,0.0
1694.8626574087468,0.0,0.0
