Eq Diam,Count,Volume Fraction
0.6,0.0,0.0
0.7080219714290389,2152.752,1.1675401386036392e-07
0.8354918533771046,3103.968,2.7661868200207373e-07
0.9859109819015986,2503.2,3.665610166464928e-07
1.163411061765849,1877.4,4.5174566481099016e-07
1.3728676558896795,1602.048,6.33430772570444e-07
1.6200341070569575,1276.632,8.29422502670114e-07
1.9116995704345832,1314.18,1.4029797250322097e-06
2.2558754977319007,851.088,1.4929919372068054e-06
2.6620156953376743,422.174,1.2169169276773822e-06
3.1412760009800405,520.674,2.4661630945180034e-06
3.70682071169436,445.078,3.4640047940363115e-06
4.37418418004639,438.562,5.608668981254167e-06
5.161697510916932,333.724,7.0129816819599665e-06
6.090992079332949,323.982,1.1187230852544671e-05
7.187593699946627,274.16,1.5555796859902664e-05
8.481623768778585,232.628,2.168885435589548e-05
10.008626636150014,234.886,3.598472693373927e-05
11.810545937040205,254.66,6.410741538988747e-05
13.936876696660718,235.902,9.758107760359982e-05
16.44602485722192,182.096,0.0001237715548475098
19.406911569302075,182.612,0.0002039558692034462
22.90086631441046,178.612,0.0003277962506385976
27.023860858936278,177.628,0.0005356624803614974
31.88914540161352,175.37,0.0008690035644700986
37.6303593240628,162.37,0.0013220823285716066
44.40520199034342,129.57999999999998,0.001733712733969337
52.399764424846055,112.322,0.0024693943214409114
61.83364085082788,124.596,0.00450107418723659
72.9659604930638,114.338,0.0067871760773503265
86.10250532585405,97.322,0.009492836565626729
101.60410927631742,85.548,0.013711383979130675
119.89656959184966,76.048,0.02002837356402662
141.48234261666732,54.532,0.023599117684865008
166.95434523641913,64.548,0.04590009496952213
197.0122410882232,40.032,0.04677615668643375
232.48165888489467,15.758,0.030255532260164697
274.33687074129426,24.774,0.0781603127365111
323.7275534298741,12.758,0.06613924100547097
382.01036764219856,15.516,0.13217302622074953
450.78622267393536,5.0,0.0699873453543679
531.9442501177493,7.758,0.17843734209212309
627.7136944311841,0.0,0.0
740.7251457069542,1.0,0.06210247060278197
874.082796584166,2.0,0.20409169256834617
1031.4497080495485,0.0,0.0
1217.148426205246,0.0,0.0
1436.279713739318,0.0,0.0
1694.8626574087468,0.0,0.0
