Eq Diam,Count,Volume Fraction
0.6,0.0,0.0
0.7080219714290389,436.08,1.1110701452843821e-08
0.8354918533771046,505.6,2.1167463920751246e-08
0.9859109819015986,669.9200000000001,4.608622759746459e-08
1.163411061765849,625.6800000000001,7.072727786749893e-08
1.3728676558896795,644.64,1.1973975752350922e-07
1.6200341070569575,714.1600000000001,2.1797319993677863e-07
1.9116995704345832,777.36,3.898667714466381e-07
2.2558754977319007,297.04,2.447909861523682e-07
2.6620156953376743,151.9,2.0569546334166977e-07
3.1412760009800405,140.62,3.128963426716135e-07
3.70682071169436,127.5,4.661761295890897e-07
4.37418418004639,123.34,7.41020537944888e-07
5.161697510916932,77.74000000000001,7.674627242744349e-07
6.090992079332949,82.92,1.3451121695164345e-06
7.187593699946627,66.42,1.7704535357163795e-06
8.481623768778585,56.28,2.4650526793332087e-06
10.008626636150014,42.120000000000005,3.0314257289968735e-06
11.810545937040205,36.3,4.2929086652598075e-06
13.936876696660718,33.46,6.502156436195626e-06
16.44602485722192,23.32,7.446401983407393e-06
19.406911569302075,19.82,1.0399394061857262e-05
22.90086631441046,5.16,4.448776012718626e-06
27.023860858936278,5.66,8.018510897478007e-06
31.88914540161352,3.0,6.983690770601784e-06
37.6303593240628,8.82,3.37379573822116e-05
44.40520199034342,2.0,1.2570908046126415e-05
52.399764424846055,3.0,3.0984490737878e-05
61.83364085082788,1.0,1.6971083159501275e-05
72.9659604930638,2.0,5.577325753905853e-05
86.10250532585405,1.0,4.5822889253486686e-05
101.60410927631742,3.66,0.00027558146739858615
119.89656959184966,5.66,0.0007002801367765132
141.48234261666732,4.66,0.0009473877114283622
166.95434523641913,5.16,0.0017237647124069215
197.0122410882232,8.32,0.004567074166882417
232.48165888489467,8.82,0.007955542075894276
274.33687074129426,18.14,0.026885921631675015
323.7275534298741,6.0,0.01461252778126466
382.01036764219856,10.32,0.04129906795695437
450.78622267393536,7.16,0.0470825557541992
531.9442501177493,6.16,0.06656013176168663
627.7136944311841,8.32,0.14772134081188465
740.7251457069542,6.0,0.1750481877015218
874.082796584166,1.0,0.047939425171361794
1031.4497080495485,2.0,0.1575466858083186
1217.148426205246,2.0,0.2588783461677031
1436.279713739318,0.0,0.0
1694.8626574087468,0.0,0.0
